state	airport	long	lat	date	arrivals	delayed	cancelled	diverted	carrier_del	weather_del	nas_del	security_del	late_aircraft_del	on_time
AZ	PHX	-112.0080556	33.43416667	2007-09-01	16884	2442	177	12	814.22	38.8	705.62	8.81	874.55	0.855366027007818
AZ	PHX	-112.0080556	33.43416667	2007-10-01	17671	2894	176	7	952.77	47.59	822.18	8.69	1062.75	0.836228849527474
AZ	PHX	-112.0080556	33.43416667	2007-11-01	17072	2825	287	7	922.82	38.04	989.29	10.65	864.19	0.834524367385192
AZ	PHX	-112.0080556	33.43416667	2007-12-01	17655	4714	342	8	1398.41	133.16	1676.35	14.42	1491.67	0.732993486264514
AZ	PHX	-112.0080556	33.43416667	2008-01-01	17693	3655	315	12	1044.82	106.66	1264.05	12.92	1226.56	0.793421126999378
AZ	PHX	-112.0080556	33.43416667	2008-02-01	16595	3618	335	10	958.75	88.83	1261.49	12.03	1296.91	0.781982524856885
AZ	PHX	-112.0080556	33.43416667	2008-03-01	17864	3301	232	23	1036.18	51.18	934.29	14.88	1264.44	0.815214957456337
AZ	PHX	-112.0080556	33.43416667	2008-04-01	17245	2585	238	15	847.09	30.52	940.12	5.89	761.41	0.850101478689475
AZ	PHX	-112.0080556	33.43416667	2008-05-01	17425	3387	158	10	888.75	48.5	1461.61	7.7	980.46	0.805624103299857
AZ	PHX	-112.0080556	33.43416667	2008-06-01	16997	3651	203	13	1061.04	82.51	1290.87	15.9	1200.71	0.785197387774313
AZ	PHX	-112.0080556	33.43416667	2008-07-01	17390	3026	202	49	1069	81.22	925.86	13.37	936.53	0.825991949396205
AZ	PHX	-112.0080556	33.43416667	2008-08-01	16757	2651	181	144	892.58	98.45	839.18	10.16	810.66	0.841797457778839
AZ	PHX	-112.0080556	33.43416667	2008-09-01	15168	1440	151	21	524.01	31.47	473.66	7.67	403.18	0.90506329113924
AZ	PHX	-112.0080556	33.43416667	2008-10-01	15642	1640	122	4	586.52	14.81	598.25	8.09	432.34	0.895154072369262
AZ	PHX	-112.0080556	33.43416667	2008-11-01	15002	1637	130	13	523.6	35.34	533.53	1.95	542.57	0.890881215837888
AZ	PHX	-112.0080556	33.43416667	2008-12-01	15638	4663	287	19	1207.41	183.12	1779.76	16.88	1475.82	0.70181608901394
AZ	PHX	-112.0080556	33.43416667	2009-01-01	15508	2358	186	14	676.71	79.66	927.56	4.58	669.49	0.847949445447511
AZ	PHX	-112.0080556	33.43416667	2009-02-01	14162	2337	136	5	617.81	40.54	1095.03	4.54	579.09	0.834980934896201
AZ	PHX	-112.0080556	33.43416667	2009-03-01	16209	2546	171	48	775.69	56.12	970.83	4.05	739.31	0.842926769078907
AZ	PHX	-112.0080556	33.43416667	2009-04-01	15520	2284	117	10	696.58	59.71	747.52	6.76	773.41	0.852835051546392
AZ	PHX	-112.0080556	33.43416667	2009-05-01	15716	1974	161	25	682.43	39.33	523.06	7.35	721.83	0.874395520488674
AZ	PHX	-112.0080556	33.43416667	2009-06-01	15425	2930	155	12	904.7	62.75	952.76	13.05	996.78	0.810048622366288
AZ	PHX	-112.0080556	33.43416667	2009-07-01	15979	2591	156	62	922.86	67.72	754.67	12.42	833.33	0.837849677701984
AZ	PHX	-112.0080556	33.43416667	2009-08-01	15669	2024	123	24	745.18	51.89	516.28	14.19	696.45	0.870827749058651
AZ	PHX	-112.0080556	33.43416667	2009-09-01	14497	1291	68	5	465.95	17.1	356.11	3.1	448.73	0.910947092501897
AZ	PHX	-112.0080556	33.43416667	2009-10-01	15127	3202	120	13	850.61	51.4	1301.69	8.81	989.53	0.788325510676274
AZ	PHX	-112.0080556	33.43416667	2009-11-01	14692	965	79	7	404.06	9.75	255.3	4.29	291.61	0.934317996188402
AZ	PHX	-112.0080556	33.43416667	2009-12-01	15617	3112	242	41	890.24	128.58	1012.12	12.58	1068.52	0.800729973746558
AZ	PHX	-112.0080556	33.43416667	2010-01-01	15287	1878	444	86	602.02	66.5	524.55	12.38	672.57	0.877150520049715
AZ	PHX	-112.0080556	33.43416667	2010-02-01	13976	1619	255	6	483.02	62.74	480.38	4.51	588.35	0.88415855752719
AZ	PHX	-112.0080556	33.43416667	2010-03-01	15742	1850	124	9	603.04	36.56	432.13	9.29	769.01	0.882479989836107
AZ	PHX	-112.0080556	33.43416667	2010-04-01	15014	1685	115	10	478.02	35.61	504.22	3.08	664.06	0.887771413347542
AZ	PHX	-112.0080556	33.43416667	2010-05-01	15419	2113	112	6	556.94	46.51	645.58	4.51	859.49	0.862961281535768
AZ	PHX	-112.0080556	33.43416667	2010-06-01	15012	1985	111	6	630.7	68.08	378.19	7.62	900.39	0.867772448707701
AZ	PHX	-112.0080556	33.43416667	2010-07-01	15419	2034	138	19	621.24	68.61	384.84	8.16	951.16	0.868084830404047
AZ	PHX	-112.0080556	33.43416667	2010-08-01	15264	1813	106	30	554.03	46.01	431.8	5.03	776.13	0.881223794549266
AZ	PHX	-112.0080556	33.43416667	2010-09-01	14565	1544	65	5	414.02	21.39	536.24	4.41	567.94	0.893992447648472
AZ	PHX	-112.0080556	33.43416667	2010-10-01	15275	2691	125	61	623.55	54.2	1013.09	11.25	988.91	0.823829787234043
AZ	PHX	-112.0080556	33.43416667	2010-11-01	14800	2389	90	12	624.12	28.38	853.12	8.93	874.45	0.838581081081081
AZ	PHX	-112.0080556	33.43416667	2010-12-01	15558	3210	232	16	908.09	65.61	801.2	10.52	1424.62	0.79367527959892
