state	airport	airport_name	long	lat	date	arrivals	delayed	cancelled	diverted	carrier_del	weather_del	nas_del	security_del	late_aircraft_del	on_time	perc_carrier_del	perc_weather_del	perc_nas_del	perc_security_del	perc_late_aircraft_del
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-01-01	18210	2489	236	20	814.65	49.31	644.45	8.68	971.89	0.863316858868753	32.7300120530333	1.98111691442346	25.8919244676577	0.348734431498594	39.0474085978305
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-02-01	16324	3224	178	35	816.83	64.67	1200.21	18.05	1124.24	0.802499387405048	25.3359181141439	2.00589330024814	37.2273573200993	0.559863523573201	34.8709677419355
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-03-01	18507	3956	160	19	1022.58	77.82	1389.49	21.65	1444.48	0.786243043172854	25.8488372093023	1.96713852376138	35.1236097067745	0.54726996966633	36.5136501516684
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-04-01	17586	3309	144	12	930.48	49.9	1071.73	17.23	1239.65	0.811838962811327	28.1196736174071	1.50800846177093	32.3883348443639	0.520701118162587	37.462979752191
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-05-01	18134	2473	160	11	847.17	49.36	616.92	10.23	949.35	0.863626337267012	34.2567731500202	1.99595632834614	24.9462191670036	0.413667610190053	38.3885968459361
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-06-01	17869	3630	218	49	1275.29	121.5	965.76	18.69	1248.75	0.796854888354133	35.131955922865	3.34710743801653	26.604958677686	0.514876033057851	34.400826446281
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-07-01	18407	3593	250	59	1326.31	114.79	842.2	14.7	1294.98	0.804802520780138	36.9137211244086	3.19482326746451	23.4400222655163	0.40912886167548	36.0417478430281
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-08-01	18490	3373	254	47	1115.69	107.38	848.03	82.21	1219.68	0.817577068685776	33.0770827156834	3.1835161577231	25.141713608064	2.43729617551141	36.1600948710347
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-09-01	17517	2905	201	20	883.12	67.07	1029.19	14.75	910.83	0.834161100645088	30.4	2.30877796901893	35.4282271944923	0.507745266781411	31.3538726333907
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-10-01	18272	3938	211	6	1081.13	82.04	1601.72	20.1	1153.01	0.784478984238179	27.4537836465211	2.08329101066531	40.67343829355	0.510411376333164	29.2790756729304
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-11-01	17524	2541	187	14	893.77	72.8	649.25	17.55	907.63	0.854998858708057	35.1739472648564	2.86501377410468	25.5509641873278	0.690672963400236	35.7194018103109
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2006-12-01	18245	4101	362	48	1344.28	145.09	1081.81	35.7	1494.14	0.775226089339545	32.7793221165569	3.53791758107779	26.3791758107779	0.870519385515728	36.4335527920019
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-01-01	18181	4157	382	18	1241.94	151.57	1605.16	15.45	1142.88	0.771354710961993	29.8758720230936	3.64613904257878	38.6134231416887	0.371662256434929	27.492903536204
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-02-01	16411	3698	355	33	1190.64	138.53	1006.63	23.19	1339.02	0.774663335567607	32.1968631692807	3.74607896160087	27.2209302325581	0.627095727420227	36.2093023255814
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-03-01	18542	3884	276	26	1340.14	123.04	1082.74	16.24	1321.83	0.790529608456477	34.5041194644696	3.16786817713697	27.8769309989701	0.418125643666323	34.0326982492276
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-04-01	17771	3461	181	34	1168.03	86.35	1018.85	25.41	1162.37	0.805244499465421	33.7483386304536	2.49494365790234	29.4380236925744	0.734180872580179	33.5848020803236
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-05-01	17960	3113	157	17	962.88	60.48	905.49	20.42	1163.72	0.826670378619154	30.930934789592	1.94282043045294	29.0873755220045	0.655958882107292	37.3825891423065
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-06-01	17223	3955	338	12	1322.97	96.18	955.26	26.61	1554.01	0.770365209313128	33.4505689001264	2.43185840707965	24.1532237673831	0.672819216182048	39.2922882427307
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-07-01	17844	4294	241	58	1460.67	120.02	1205.32	23.7	1484.28	0.759358888141672	34.0165346995808	2.79506287843503	28.0698649278062	0.551932929669306	34.5663716814159
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-08-01	17884	3791	209	21	1260.1	98.97	986.56	29.17	1416.19	0.788022813688213	33.2392508572936	2.61065681878132	26.0237404378792	0.769453969928779	37.356634133474
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-09-01	16884	2442	177	12	814.22	38.8	705.62	8.81	874.55	0.855366027007818	33.3423423423423	1.58886158886159	28.8951678951679	0.360769860769861	35.8128583128583
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-10-01	17671	2894	176	7	952.77	47.59	822.18	8.69	1062.75	0.836228849527474	32.9222529371113	1.64443676572218	28.4098134070491	0.300276434001382	36.7225293711126
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-11-01	17072	2825	287	7	922.82	38.04	989.29	10.65	864.19	0.834524367385192	32.6661946902655	1.34654867256637	35.0191150442478	0.376991150442478	30.590796460177
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2007-12-01	17655	4714	342	8	1398.41	133.16	1676.35	14.42	1491.67	0.732993486264514	29.6650403054731	2.82477725922783	35.5610946117947	0.305897327110734	31.6434026304625
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-01-01	17693	3655	315	12	1044.82	106.66	1264.05	12.92	1226.56	0.793421126999378	28.5860465116279	2.91819425444596	34.5841313269494	0.353488372093023	33.5584131326949
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-02-01	16595	3618	335	10	958.75	88.83	1261.49	12.03	1296.91	0.781982524856885	26.4994472084024	2.45522388059702	34.867053620785	0.332504145936982	35.8460475400774
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-03-01	17864	3301	232	23	1036.18	51.18	934.29	14.88	1264.44	0.815214957456337	31.3898818539836	1.55043926083005	28.3032414419873	0.450772493183884	38.3047561345047
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-04-01	17245	2585	238	15	847.09	30.52	940.12	5.89	761.41	0.850101478689475	32.7694390715667	1.18065764023211	36.3682785299807	0.227852998065764	29.4549323017408
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-05-01	17425	3387	158	10	888.75	48.5	1461.61	7.7	980.46	0.805624103299857	26.2400354295837	1.43194567463832	43.1535281960437	0.227339828757012	28.947741364039
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-06-01	16997	3651	203	13	1061.04	82.51	1290.87	15.9	1200.71	0.785197387774313	29.0616269515201	2.2599287866338	35.3566146261298	0.435497124075596	32.8871542043276
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-07-01	17390	3026	202	49	1069	81.22	925.86	13.37	936.53	0.825991949396205	35.3271645736946	2.68407138136153	30.596827495043	0.441837409120952	30.9494382022472
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-08-01	16757	2651	181	144	892.58	98.45	839.18	10.16	810.66	0.841797457778839	33.6695586571105	3.71369294605809	31.6552244436062	0.383251603168616	30.5794039984911
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-09-01	15168	1440	151	21	524.01	31.47	473.66	7.67	403.18	0.90506329113924	36.3895833333333	2.18541666666667	32.8930555555556	0.532638888888889	27.9986111111111
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-10-01	15642	1640	122	4	586.52	14.81	598.25	8.09	432.34	0.895154072369262	35.7634146341463	0.903048780487805	36.4786585365854	0.493292682926829	26.3621951219512
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-11-01	15002	1637	130	13	523.6	35.34	533.53	1.95	542.57	0.890881215837888	31.9853390348198	2.15882712278558	32.5919364691509	0.119120342089188	33.1441661576054
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2008-12-01	15638	4663	287	19	1207.41	183.12	1779.76	16.88	1475.82	0.70181608901394	25.8934162556294	3.9270855672314	38.1677031953678	0.361998713274716	31.6495818142827
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-01-01	15508	2358	186	14	676.71	79.66	927.56	4.58	669.49	0.847949445447511	28.6984732824427	3.37828668363019	39.3367260390161	0.194232400339271	28.3922815945717
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-02-01	14162	2337	136	5	617.81	40.54	1095.03	4.54	579.09	0.834980934896201	26.4360290971331	1.734702610184	46.8562259306804	0.194266153187848	24.7792041078306
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-03-01	16209	2546	171	48	775.69	56.12	970.83	4.05	739.31	0.842926769078907	30.4670070699136	2.20424194815397	38.1315789473684	0.159073055773763	29.0380989787903
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-04-01	15520	2284	117	10	696.58	59.71	747.52	6.76	773.41	0.852835051546392	30.4982486865149	2.61427320490368	32.7285464098074	0.295971978984238	33.8620840630473
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-05-01	15716	1974	161	25	682.43	39.33	523.06	7.35	721.83	0.874395520488674	34.5709219858156	1.99240121580547	26.4974670719352	0.372340425531915	36.5668693009119
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-06-01	15425	2930	155	12	904.7	62.75	952.76	13.05	996.78	0.810048622366288	30.877133105802	2.14163822525597	32.5174061433447	0.445392491467577	34.019795221843
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-07-01	15979	2591	156	62	922.86	67.72	754.67	12.42	833.33	0.837849677701984	35.6179081435739	2.61366267850251	29.1265920494018	0.479351601698186	32.1624855268236
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-08-01	15669	2024	123	24	745.18	51.89	516.28	14.19	696.45	0.870827749058651	36.8171936758893	2.56373517786561	25.5079051383399	0.701086956521739	34.4095849802371
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-09-01	14497	1291	68	5	465.95	17.1	356.11	3.1	448.73	0.910947092501897	36.0921766072812	1.32455460883036	27.584043377227	0.24012393493416	34.7583268783888
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-10-01	15127	3202	120	13	850.61	51.4	1301.69	8.81	989.53	0.788325510676274	26.5649594003748	1.6052467207995	40.6524047470331	0.275140537164272	30.9034978138663
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-11-01	14692	965	79	7	404.06	9.75	255.3	4.29	291.61	0.934317996188402	41.8715025906736	1.01036269430052	26.4559585492228	0.444559585492228	30.2186528497409
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2009-12-01	15617	3112	242	41	890.24	128.58	1012.12	12.58	1068.52	0.800729973746558	28.6066838046272	4.13174807197943	32.5231362467866	0.404241645244216	34.3354755784062
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-01-01	15287	1878	444	86	602.02	66.5	524.55	12.38	672.57	0.877150520049715	32.0564430244941	3.54100106496273	27.9313099041534	0.659211927582535	35.8130990415335
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-02-01	13976	1619	255	6	483.02	62.74	480.38	4.51	588.35	0.88415855752719	29.83446571958	3.87523162445954	29.6714021000618	0.278567016676961	36.3403335392217
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-03-01	15742	1850	124	9	603.04	36.56	432.13	9.29	769.01	0.882479989836107	32.5967567567568	1.97621621621622	23.3583783783784	0.502162162162162	41.5681081081081
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-04-01	15014	1685	115	10	478.02	35.61	504.22	3.08	664.06	0.887771413347542	28.3691394658754	2.113353115727	29.9240356083086	0.182789317507418	39.4100890207715
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-05-01	15419	2113	112	6	556.94	46.51	645.58	4.51	859.49	0.862961281535768	26.3577851396119	2.20113582584004	30.5527685754851	0.213440605773781	40.6762896355892
AZ	PHX	Phoenix, AZ: Phoenix Sky Harbor International	-112.0080556	33.43416667	2010-06-01	15012	1985	111	6	630.7	68.08	378.19	7.62	900.39	0.867772448707701	31.7732997481108	3.42972292191436	19.0523929471033	0.383879093198992	45.3596977329975
